stock_code,stock_name,price,last_close,open,volume,change_amt,change_pct,high,low,amount_wan,turnover_pct,pe_ttm,amplitude_pct,mcap_yi,float_mcap_yi,pb,limit_up,limit_down,vol_ratio
000001,平安银行,10.93,10.66,10.65,139936800.0,0.27,2.53,10.93,10.62,151569,0.72,4.93,2.91,2121.03,2121.07,0.46,11.73,9.59,1.67
000002,万  科Ａ,3.55,3.31,3.33,451492800.0,0.24,7.25,3.64,3.33,161285,4.65,-0.48,9.37,344.95,423.54,0.38,3.64,2.98,3.94
000003,PT金田A,2.71,2.71,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,78.43,0.00,5.20,9.04,-0.27,-1,-1,0.00
000004,*ST国华,2.76,2.76,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,30.99,0.00,3.49,3.65,4.21,2.90,2.62,0.00
000005,ST星源,0.83,0.83,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-4.44,0.00,8.78,8.79,0.73,-1,-1,0.00
000006,深振业Ａ,9.10,9.57,9.64,41529600.0,-0.47,-4.91,9.80,9.05,39060,3.08,-1396.97,7.84,122.85,122.85,2.29,10.53,8.61,1.00
000007,全新好,11.33,11.89,12.00,11221200.0,-0.56,-4.71,12.09,11.19,12932,3.24,-1947.21,7.57,39.25,39.25,21.92,13.08,10.70,0.67
000008,神州高铁,2.57,2.56,2.55,27176200.0,0.01,0.39,2.59,2.55,6987,1.00,-8.48,1.56,69.81,69.81,3.23,2.82,2.30,0.97
000009,中国宝安,7.40,7.45,7.45,20723700.0,-0.05,-0.67,7.52,7.36,15412,0.80,367.56,2.15,190.63,190.86,1.90,8.20,6.71,0.96
000010,*ST美丽,2.10,2.00,1.95,26176500.0,0.10,5.00,2.10,1.94,5323,3.02,-1421.92,8.00,18.23,24.14,8.20,2.10,1.90,0.81
000011,深物业A,7.35,7.29,7.32,6308800.0,0.06,0.82,7.66,7.32,4697,1.20,2664.26,4.66,38.70,43.80,1.30,8.02,6.56,1.84
000012,南  玻Ａ,4.05,4.38,4.40,90549200.0,-0.33,-7.53,4.43,4.01,37489,4.62,1104.58,9.59,79.35,123.22,0.95,4.82,3.94,0.66
000013,*ST石化A,2.47,2.47,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.55,0.00,1.27,7.49,-0.23,-1,-1,0.00
000014,沙河股份,10.67,10.76,10.75,8695800.0,-0.09,-0.84,11.19,10.64,9470,3.59,-16.95,5.11,25.83,25.83,1.87,11.84,9.68,1.56
000015,PT中浩A,6.85,6.85,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-10.70,0.00,1.80,10.77,-0.55,-1,-1,0.00
000016,*ST康佳A,3.46,3.46,3.45,32117200.0,0.00,0.00,3.58,3.44,11244,2.01,-0.65,4.05,55.24,83.31,-0.74,3.63,3.29,0.76
000017,深中华A,5.41,5.50,5.53,6629400.0,-0.09,-1.64,5.54,5.37,3619,1.50,90.19,3.09,23.85,37.28,9.55,6.05,4.95,1.02
000018,神城A退,0.27,0.27,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-0.08,0.00,2.69,4.59,-0.35,-1,-1,0.00
000019,深粮控股,6.45,6.42,6.39,8840400.0,0.03,0.47,6.53,6.37,5721,2.12,34.28,2.49,26.85,74.34,1.47,7.06,5.78,0.95
000020,深华发Ａ,12.46,12.68,12.70,4324900.0,-0.22,-1.74,12.76,12.38,5418,2.39,101.62,3.00,22.57,35.28,7.94,13.95,11.41,0.82
000021,深科技,39.79,42.65,42.37,228456900.0,-2.86,-6.71,43.85,38.59,940942,14.51,52.25,12.33,626.31,626.40,4.69,46.92,38.39,0.93
000023,*ST深天,1.72,1.72,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.33,0.00,2.38,2.39,-2.66,-1,-1,0.00
000024,招商地产,40.50,40.50,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,24.59,0.00,415.70,1043.26,3.17,-1,-1,0.00
000025,特  力Ａ,15.66,14.24,14.26,12753400.0,1.42,9.97,15.66,14.20,19415,3.25,47.57,10.25,61.51,67.50,3.63,15.66,12.82,3.61
000026,飞亚达,23.95,23.06,23.20,27339300.0,0.89,3.86,25.22,23.01,66550,7.50,90.75,9.58,87.31,97.18,2.86,25.37,20.75,0.83
000027,深圳能源,8.08,8.05,7.98,159767800.0,0.03,0.37,8.45,7.92,131340,3.36,19.21,6.58,384.40,384.40,1.15,8.86,7.25,2.24
000028,国药一致,23.62,22.99,23.07,3442000.0,0.63,2.74,23.71,23.00,8068,0.72,12.00,3.09,112.92,131.46,0.70,25.29,20.69,1.63
000029,深深房Ａ,24.75,25.08,25.13,11107900.0,-0.33,-1.32,25.70,24.53,27775,1.25,1060.60,4.67,220.69,250.39,6.93,27.59,22.57,0.93
000030,富奥股份,4.58,4.59,4.60,10155700.0,-0.01,-0.22,4.63,4.56,4672,0.61,11.86,1.53,76.53,78.77,0.92,5.05,4.13,0.91
000031,大悦城,2.61,2.54,2.56,54758900.0,0.07,2.76,2.69,2.55,14411,1.28,-4.84,5.51,111.87,111.87,1.09,2.79,2.29,1.81
000032,深桑达Ａ,16.47,17.63,17.63,33710600.0,-1.16,-6.58,17.75,16.33,56645,3.09,-114.09,8.05,179.42,200.14,2.71,19.39,15.87,1.16
000033,新都退,1.70,1.70,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-105.03,0.00,7.31,7.31,31.10,-1,-1,0.00
000034,神州数码,25.84,26.27,27.50,60456300.0,-0.43,-1.64,28.32,25.61,161371,7.12,48.50,10.32,219.42,262.73,2.35,28.90,23.64,1.13
000035,中国天楹,5.89,6.09,6.09,32088800.0,-0.20,-3.28,6.12,5.87,19129,1.39,48.59,4.11,136.24,140.66,1.31,6.70,5.48,0.89
000036,华联控股,5.19,5.30,5.34,32263500.0,-0.11,-2.08,5.44,5.15,17078,2.30,80.55,5.47,72.81,72.86,1.42,5.83,4.77,1.09
000037,深南电A,11.50,10.45,10.42,31617700.0,1.05,10.05,11.50,10.37,35679,9.33,37.39,10.81,38.97,69.32,4.10,11.50,9.41,1.44
000038,大通退,0.52,0.52,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-1.67,0.00,1.30,2.72,0.11,-1,-1,0.00
000039,中集集团,11.02,11.15,11.15,53802100.0,-0.13,-1.17,11.43,10.89,59668,2.34,-521.20,4.84,253.62,594.26,1.27,12.27,10.04,0.71
000040,*ST旭蓝,0.49,0.49,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-2.06,0.00,5.17,7.29,0.07,-1,-1,0.00
000042,中洲控股,9.80,9.94,10.00,7549100.0,-0.14,-1.41,10.23,9.79,7581,1.14,-5.88,4.43,65.08,65.15,2.87,10.93,8.95,1.24
000045,深纺织Ａ,11.28,11.91,11.88,12515800.0,-0.63,-5.29,11.92,11.05,14261,2.74,81.90,7.30,51.55,57.14,1.90,13.10,10.72,1.47
000046,*ST泛海,0.38,0.38,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-0.11,0.00,19.66,19.75,-0.16,-1,-1,0.00
000047,ST中侨,8.03,8.03,0.00,0.0,0.00,0.00,0.00,0.00,0,0.00,-7.64,0.00,2.64,9.67,-0.78,-1,-1,0.00
000048,京基智农,12.54,12.66,12.66,8387900.0,-0.12,-0.95,12.80,12.43,10538,1.58,-34.94,2.92,66.37,66.49,1.77,13.93,11.39,1.16
000049,德赛电池,25.32,26.29,26.36,9894400.0,-0.97,-3.69,26.50,25.25,25358,2.57,30.10,4.75,97.36,97.39,1.45,28.92,23.66,1.07
000050,深天马Ａ,7.62,8.18,8.17,50148900.0,-0.56,-6.85,8.24,7.57,39003,2.06,-272.03,8.19,185.60,185.61,0.69,9.00,7.36,0.74
000055,方大集团,3.46,3.46,3.50,9777200.0,0.00,0.00,3.55,3.44,3421,1.45,-7.14,3.18,23.38,37.16,0.66,3.81,3.11,0.86
000056,*ST皇庭,1.60,1.53,1.61,107376800.0,0.07,4.58,1.61,1.52,17122,11.88,-0.71,5.88,14.46,18.92,-0.79,1.61,1.45,3.03
000058,深 赛 格,7.24,7.22,7.23,7653400.0,0.02,0.28,7.40,7.20,5589,0.78,127.50,2.77,71.30,89.14,4.44,7.94,6.50,1.06
